"","voted","sex","age","unit","weight","race","educ"
"173",1,0,"(0,29]",0,5082.8906,NA,2
"174",0,0,"(29,39]",0,4604.3653,2,0
"175",0,1,"(0,29]",0,3583.7842,1,2
"176",1,1,"(59,69]",0,3214.5627,1,1
"177",1,0,"(0,29]",0,2894.2505,3,1
"178",1,1,"(29,39]",0,3216.4796,1,2
"179",1,0,"(59,69]",0,4048.1349,3,2
"180",1,1,"(59,69]",0,3929.9069,3,2
"181",1,0,"(39,49]",0,4148.75,2,2
"182",1,1,"(39,49]",0,4486.3788,1,2
"183",1,0,"(49,59]",0,3229.8297,1,2
"184",1,1,"(0,29]",0,3314.583,1,2
"185",1,1,"(0,29]",0,3314.583,1,2
"186",1,1,"(39,49]",0,4706.6265,3,0
"187",1,1,"(59,69]",0,3847.1676,2,0
"188",NA,0,"(39,49]",0,3856.953,2,1
"189",NA,1,"(39,49]",0,3996.5674,2,1
"190",1,1,"(69,79]",0,3022.4417,1,2
"191",1,0,"(59,69]",0,2954.071,1,1
"192",1,1,"(49,59]",0,3816.0328,2,0
"193",1,1,"(59,69]",0,3676.3673,1,0
"194",1,0,"(59,69]",0,3229.203,1,0
"195",1,1,"(49,59]",0,3605.7024,1,2
"196",1,0,"(59,69]",0,3519.9459,1,2
"197",1,1,"(59,69]",0,2936.5848,1,0
"198",1,0,"(79,100]",0,3480.8091,1,0
"199",1,0,"(59,69]",0,3925.1233,2,0
"200",1,1,"(49,59]",0,3905.5286,2,1
"201",0,1,"(29,39]",0,3839.2097,1,1
"202",NA,0,NA,0,3883.5132,1,1
"203",NA,1,NA,0,3368.0912,3,2
"204",1,1,"(29,39]",0,4683.6229,2,2
"205",1,0,"(59,69]",0,3917.3936,2,1
"206",1,1,"(29,39]",0,3076.33,1,0
"207",1,0,"(29,39]",0,4045.4288,2,1
"208",1,1,"(39,49]",0,5142.7874,2,0
"209",0,0,"(0,29]",0,4553.1173,2,0
"210",NA,0,"(39,49]",0,3824.1594,1,2
"211",NA,1,"(39,49]",0,2975.1213,1,2
"212",1,1,"(49,59]",0,3565.1179,1,1
"213",NA,0,"(59,69]",0,3917.3936,2,0
"214",NA,1,"(49,59]",0,3937.3935,2,1
"215",NA,1,"(0,29]",0,5841.7496,2,0
"216",1,1,"(39,49]",0,4009.1497,3,2
"217",1,0,"(39,49]",0,3506.0476,1,2
"218",0,0,"(49,59]",0,4284.4368,1,0
